s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 2.4016987E+001, 1.4992035E+002,-5.1047956E+001,-1.2539405E+000,-1.6835740E+001,-1.0054829E-002, 0.0000000E+000, 0.0000000E+000, 8.0869092E+001, 8.0772656E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 2.5202251E+001, 1.5019935E+002,-5.1222586E+001,-1.0627257E+000,-1.7014693E+001,-1.0107120E-002, 0.0000000E+000, 0.0000000E+000, 8.0826654E+001, 8.0889237E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 2.6403687E+001, 1.5047512E+002,-5.1295347E+001,-3.0233028E-002,-1.6814893E+001,-1.0101490E-002, 0.0000000E+000, 0.0000000E+000, 8.2268440E+001, 8.2324544E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 2.7613808E+001, 1.4988423E+002,-5.1373218E+001, 2.4284312E-001,-1.6639042E+001,-1.0112219E-002, 0.0000000E+000, 0.0000000E+000, 8.2193205E+001, 8.2104702E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 2.8803488E+001, 1.4968042E+002,-5.1414968E+001, 7.3710318E-001,-1.6923073E+001,-1.0100437E-002, 0.0000000E+000, 0.0000000E+000, 8.1969388E+001, 8.2069379E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 3.0004242E+001, 1.5015305E+002,-5.1844684E+001, 6.6848529E-001,-1.6817367E+001,-1.0094737E-002, 0.0000000E+000, 0.0000000E+000, 8.2132401E+001, 8.2149385E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 3.1213003E+001, 1.4976123E+002,-5.1711216E+001, 2.2363541E-001,-1.7079361E+001,-1.0100438E-002, 0.0000000E+000, 0.0000000E+000, 8.1237281E+001, 8.1184190E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 3.2410000E+001, 1.5055108E+002,-5.2335598E+001, 2.3737598E-001,-1.7118780E+001,-1.0068595E-002, 0.0000000E+000, 0.0000000E+000, 8.1255194E+001, 8.1324013E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 3.3602142E+001, 1.4939272E+002,-5.1837714E+001, 6.1965107E-002,-1.7463214E+001,-1.0087647E-002, 0.0000000E+000, 0.0000000E+000, 8.0129696E+001, 8.0143667E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 3.4808216E+001, 1.4994521E+002,-5.2550314E+001, 1.0480401E-001,-1.8000488E+001,-1.0074618E-002, 0.0000000E+000, 0.0000000E+000, 7.9494804E+001, 7.9489139E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 3.6012463E+001, 1.4988784E+002,-5.2626464E+001, 1.7722466E-001,-1.8153000E+001,-1.0109013E-002, 0.0000000E+000, 0.0000000E+000, 7.9155493E+001, 7.9275491E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 3.7201153E+001, 1.5009360E+002,-5.2736192E+001,-4.3105020E-001,-1.8229060E+001,-1.0100042E-002, 0.0000000E+000, 0.0000000E+000, 7.8749704E+001, 7.8687201E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 3.8406796E+001, 1.5008263E+002,-5.2882853E+001,-1.1085900E+000,-1.8856062E+001,-1.0081120E-002, 0.0000000E+000, 0.0000000E+000, 7.7242010E+001, 7.7225041E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 3.9614258E+001, 1.4999465E+002,-5.2920159E+001,-1.3932595E+000,-1.8725844E+001,-1.0086324E-002, 0.0000000E+000, 0.0000000E+000, 7.6852229E+001, 7.6945300E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
 4.0807339E+001, 1.5016716E+002,-5.3232724E+001,-1.3146312E+000,-1.8671278E+001,-1.0106943E-002, 0.0000000E+000, 0.0000000E+000, 7.6996907E+001, 7.6938420E+001, 0.0000000E+000, 3.4077818E-003, 0.0000000E+000
